"Hits: 3697","page_num: 1","page_size: 2000","Keyword Version: 21.1","Revision: 2025-04-21 07:18:04","Timestamp: 2025-04-27 22:52:39","Terms Of Use: https://cdn.earthdata.nasa.gov/conduit/upload/5182/KeywordsCommunityGuide_Baseline_v1_SIGNED_FINAL.pdf","The most up to date XML representations can be found here: https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/providers/?format=xml","Case native"
Bucket_Level0,Bucket_Level1,Bucket_Level2,Bucket_Level3,Short_Name,Long_Name,Data_Center_URL,UUID
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NMFS","National Marine Fisheries Service, NOAA, U.S. Department of Commerce","http://www.nmfs.noaa.gov","85c2a291-71e2-4b51-811b-e469ed6c065c"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NMFS/AFSC","Alaska Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce","http://www.afsc.noaa.gov/","4271e7d0-b722-4039-9d1a-ee3a0d2c5de0"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NMFS/AFSC/MML","Marine Mammal Laboratory, Alaska Fisheries Science Center, National Marine Fisheries Service,  NOAA, U.S. Department of Commerce","https://www.fisheries.noaa.gov/about/marine-mammal-laboratory","1b38ecb4-294d-4b16-a219-bf469faeb4e8"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NMFS/FSED","Fisheries Statistics and Economics Division, National Marine Fisheries Service, NOAA, U.S. Department of Commerce","http://www.st.nmfs.gov/st1/","6a298419-613c-4462-ac73-060922350117"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NMFS/GALVESTON","Galveston Laboratory, National Marine Fisheries Service, NOAA, U.S. Department of Commerce","http://galveston.ssp.nmfs.gov/","da358461-a909-4327-be28-bc0fa3195dfa"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NMFS/OST","Office of Science & Technology, National Marine Fisheries Service, NOAA, U.S. Department of Commerce","http://www.st.nmfs.noaa.gov/","a4a81063-685f-4429-a1d9-84bfb2a3c734"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NMFS/SEFSC/SEAMAP","SOUTHEAST AREA MONITORING AND ASSESSMENT PROGRAM (SEAMAP), SOUTHEAST FISHERIES SCIENCE CENTER, NATIONAL MARINE FISHERIES SERVICE, NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION, U.S. DEPARTMENT OF COMMERCE","http://www.gsmfc.org/seamap.html","01de3df8-3879-406e-ade7-bcbae8e759ad"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NOS","National Ocean Service, NOAA, U.S. Department of Commerce","http://oceanservice.noaa.gov/","1dc9615c-676f-4b7e-bc02-161ec1aa43d1"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NOS/CORIS","Coral Reef Information System, National Ocean Service, NOAA, U.S. Department of Commerce","http://coris.noaa.gov/","b5b0de41-b576-4493-bbf4-e944d7aaeb32"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NOS/CSC","Coastal Services Center, National Ocean Service, NOAA, U.S. Department of Commerce","https://www.coast.noaa.gov/","b1bcb85a-5519-441b-9846-26014a7ac324"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NOS/NCCOS","National Centers for Coastal Ocean Science, National Ocean Service, NOAA, U.S. Department of Commerce","http://www.nccos.noaa.gov/","4eb54191-305b-4852-9759-da55053ead81"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NOS/NCCOS/CCEHBR","Center For Coastal Environmental Health and Biomolecular Research, National Centers For Coastal Ocean Science, National Ocean Service, NOAA, U.S. Department Of Commerce","http://www.chbr.noaa.gov/","57dc8c12-bd3a-4110-a562-f1705d5b3fb6"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NOS/NMS/STELLWAGEN","Stellwagen Bank National Marine Sanctuary, National Marine Sanctuaries, National Ocean Service, NOAA, U.S. Department of Commerce","http://stellwagen.noaa.gov/","b16f5277-034a-4cac-b56f-22c7aab89aaf"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NOS/OCRM/NERRS/GBNERR","Great Bay National Estuarine Research Reserve, National Estuarine Research Reserve System, Office of Ocean and Coastal Resource Management, National Ocean Service, NOAA, U.S. Department of Commerce","http://www.greatbay.org/","08dd970f-435c-4a82-ba35-fdd1f93c0942"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NOS/OCS","Office of Coast Survey, National Ocean Service, NOAA, U.S. Department of Commerce","http://www.nauticalcharts.noaa.gov/","f27d3753-a59c-4b4c-be12-3fc608f82e96"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NOS/OCS/HSD","Hydrographic Surveys Division, Office of Coast Survey, National Ocean Service, NOAA, U.S. Department of Commerce","http://www.nauticalcharts.noaa.gov/hsd/hsd-0.htm","642e5186-3e16-417e-8b84-a52d080fd3bf"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NOS/OCS/MCD","Marine Chart Division, Office of Coast Survey, National Ocean Service, NOAA, U.S. Department of Commerce","http://chartmaker.ncd.noaa.gov/mcd/mcd.htm","f292c0e4-59cb-468d-b6c2-bff22fcef9a8"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NOS/ORCA/CMBAD","Coastal Monitoring and Bioeffects Assessment Division, ORCA, National Ocean Service, NOAA, U.S. Department of Commerce","http://spo.nos.noaa.gov/organization/orca_org.html#cmbad","76150e1c-b0fa-4404-93f1-c6bdf9d23660"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NOS/ORCA/SEA","Strategic Environmental Assessment Division, ORCA, National Ocean Service, NOAA, U.S. Department of Commerce","http://spo.nos.noaa.gov/organization/orca_org.html#sea","7e46d6ae-5358-45c7-94e8-148604ba328b"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NOS/ORR","Office of Response and Restoration, National Ocean Service, NOAA, U.S. Department of Commerce","http://response.restoration.noaa.gov/","c3f87591-a54d-43bc-b3e7-73d4ccc15033"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NOS/SPO","Special Projects Office, National Ocean Service, NOAA, U.S. Department of Commerce","http://sposerver.nos.noaa.gov/","079cbb92-ab5a-439f-a634-54161147a410"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NWS","National Weather Service, NOAA, U.S. Department of Commerce","http://www.nws.noaa.gov/","f5bd03e2-3ba1-43e0-b1da-fcd1efb8bf16"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NWS/APRFC","Alaska-Pacific River Forecast Center, National Weather Service, NOAA, U.S. Department of Commerce","http://aprfc.arh.noaa.gov/","feab952c-49ca-41c1-a2a0-b35bf4dd7048"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NWS/ARH","Alaska Region Headquarters, National Weather Service, NOAA, U.S. Department of Commerce","http://www.arh.noaa.gov/","c778c203-afd8-47e8-bc1e-cdef290b4bfc"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NWS/BOSTON","Forecast Office Boston Massachusetts, National Weather Service, NOAA, U.S Department of Commerce","https://www.weather.gov/box/","e94e900e-f0d1-4736-ad86-32483fdfe653"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NWS/ILN","Wilmington, OH Forecast Office, National Weather Service, NOAA, U.S. Department of Commerce","http://www.erh.noaa.gov/iln/","0fe92066-1dd4-4a36-8463-f023732d2abf"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NWS/NCEP","National Centers for Environmental Prediction, National Weather Service, NOAA, U.S. Department of Commerce","http://www.ncep.noaa.gov/","f30a086a-f7e6-4708-9df0-7d38b58782e3"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NWS/NCEP-CFSR","NCEP Climate Forecast System Reanalysis (CFSR), National Weather Service, National Oceanic and Atmospheric Administration, U.S. Department of Commerce","http://cfs.ncep.noaa.gov","892c7af6-2dc0-4ba3-a2c1-29f31d1fa77f"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NWS/NCEP/CPC","Climate Prediction Center, National Centers for Environmental Prediction, National Weather Service, NOAA, U.S. Department of Commerce","https://www.cpc.ncep.noaa.gov/","5d899ead-7134-4970-8b15-ac1d0cec867a"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NWS/NCEP/CPC/NDACC","Network for the Detection of Atmospheric Composition Change, Climate Prediction Center, National Centers for Environmental Prediction, National Weather Service, NOAA, U.S. Department of Commerce","http://www.ndsc.ncep.noaa.gov","5b9ed756-937c-4b54-a702-e3205c892141"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NWS/NCEP/SEC","Space Environment Center,  National Centers for Environmental Prediction, National Weather Service, NOAA, U.S. Department of Commerce","http://www.sec.noaa.gov/","1767d8d3-5ce6-416c-81ba-bdb6323fefd8"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NWS/NCEP/SPC","Storm Prediction Center,  National Centers for Environmental Prediction,  National Weather Service, NOAA, U.S. Department of Commerce","http://www.spc.noaa.gov/","0f588bb4-6e45-4d42-af5c-2801b6a4ef6e"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NWS/NDBC","National Data Buoy Center, National Weather Service, NOAA, U.S. Department of Commerce","http://www.ndbc.noaa.gov/","dca28dff-ba6b-4e1e-9ef9-884a3d4a8f30"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NWS/NOHRSC","National Operational Hydrologic Remote Sensing Center, National Weather Service, NOAA, U.S. Department of Commerce","http://www.nohrsc.noaa.gov","084f59dc-2e08-4cdb-9677-086d0cfc6d50"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NWS/OCWWS","Office of Climate, Water, and Weather Service, National Weather Service, NOAA, U.S. Department of Commerce","http://www.weather.gov/os/","25548f76-5963-4184-8bc1-b91c7c8cf0c8"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NWS/OST/MDL","Meteorological Development Laboratory, Office of Science and  Technology, National Weather Service, NOAA, U.S. Department of Commerce","http://www.nws.noaa.gov/mdl/","8158cfda-d674-40e2-a3e0-500c6c5a57aa"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NWS/SALTLAKE","Salt Lake City, UT Forecast Office, National Weather Service, NOAA, U.S. Department of Commerce","http://www.wrh.noaa.gov/slc/","4bb93d4e-680e-48f2-be71-ab5aaa8a0a54"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/NWS/STL/NWAC","Northwest Weather and Avalanche Center, Seattle Forecast Office, National Weather Service, NOAA, U.S. Department of Commerce","http://www.nwac.noaa.gov/","d76bc7f6-2716-4c78-ad88-9980c482c4f4"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/OAR/AOML/OCD/CHAMP","Coral Health and Monitoring Program, Ocean Chemistry Division, Atlantic Oceanographic and Meteorological Laboratory, OAR, NOAA, U.S. Department of Commerce","http://www.coral.noaa.gov/","bc085473-dd63-449b-a4f5-b7d92f5da583"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/OAR/ARL","Air Resources Laboratory, OAR, NOAA, U.S. Department of Commerce","http://www.arl.noaa.gov/","709ce012-f77d-4931-a559-0a397957a044"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/OAR/ARL/SRRB","Surface Radiation Research Branch, Air Resources Laboratory, OAR, NOAA, U.S. Department of Commerce","http://www.srrb.noaa.gov/","83b18bfd-355c-4252-96d9-a6706bb809ee"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/OAR/ARO","Arctic Research Office, OAR, NOAA, U.S. Department of Commerce","http://www.arctic.noaa.gov/","6f78d3b7-0c33-425a-94f9-2c9737ebc489"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/OAR/ARP","Arctic Research Program, OAR, NOAA, U.S. Department of Commerce","http://www.oar.noaa.gov/climate/t_arctic.html","137003db-f633-458c-9ff2-962175343b5d"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/OAR/ESRL/AMDAR/","Aircraft Data Web, Global Systems Division, Earth System Research Laboratory, OAR, NOAA, U.S. Department of Commerce","http://amdar.noaa.gov/","75c986bb-7e44-4156-bb30-6275da578aed"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/OAR/ESRL/GMD/CCGG","Carbon Cycle Greenhouse Gases Group, Global Monitoring Division, Earth System Research Laboratory, OAR, NOAA, U.S. Department of Commerce","http://www.cmdl.noaa.gov/ccgg/","1d2a9719-176e-4d6b-9177-943c35e2f812"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/OAR/ESRL/GMD/HATS","Halocarbons and other Atmospheric Trace Species Group, Global Monitoring Division, Earth System Research Laboratory, OAR, NOAA, U.S. Department of Commerce","http://www.cmdl.noaa.gov/hats/","96573c5c-dafe-4a24-b1e2-8fa9202ee8ce"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/OAR/ESRL/GSD/ISB","Information Systems Division, Global Systems Division, Earth System Research Laboratory, OAR, NOAA, U.S. Department of Commerce","http://www-sdd.fsl.noaa.gov/ISB/","09c522ee-709e-473f-acc6-9e7da367b330"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/OAR/ESRL/PSL","Physical Sciences Laboratory, Earth System Research Laboratory, OAR, NOAA, U.S. Department of Commerce","https://psl.noaa.gov/","c5a59300-97f0-433a-bc8e-73b5646ee5b0"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/OAR/GLERL","Great Lakes Environmental Research Laboratory, OAR, NOAA, U.S. Department of Commerce","http://www.glerl.noaa.gov/","c5021544-efdc-4591-8ac2-5105640c7136"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/OAR/NURP/NAGL","National Undersea Research Center for the North Atlantic and Great Lakes, NOAA's Undersea Research Program, Office of Oceanic and Atmospheric Research, NOAA, U.S. Department of Commerce","http://www.nurc.uconn.edu/","8665f1c4-12f0-463d-be9e-57aca1e3547c"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/OAR/PMEL","Pacific Marine Environmental Laboratory, OAR, NOAA, U.S. Department of Commerce","http://www.pmel.noaa.gov/","8b9573fe-8097-41b7-9c0a-38627e8d7810"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/OAR/PMEL/EPIC","EPIC, Pacific Marine Environmental Laboratory, OAR, NOAA, U.S. Department of Commerce","https://www.pmel.noaa.gov/epic/","f03ac7aa-31a4-40b4-b44d-47f80af51b92"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/OAR/PMEL/NCTR","NOAA Center for Tsunami Research, Pacific Marine Environmental Laboratory, OAR, NOAA, U.S. Department of Commerce","http://nctr.pmel.noaa.gov/","6e4a6272-7756-45d1-984a-665deda7ac9c"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/OAR/PMEL/VENTS","VENTS, Pacific Marine Environmental Laboratory, OAR, NOAA, U.S. Department of Commerce","http://www.pmel.noaa.gov/vents/index.html","c71a8509-c8d6-47ce-b56a-00c966c5e935"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/OOE","Office of Ocean Exploration, National Oceanic and Atmospheric Administration, U.S. Department of Commerce","http://explore.noaa.gov/","13b4a489-0c8e-4fcc-904e-6270a821b43c"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","NOAA","","DOC/NOAA/SHORELINE","Shoreline Data and Terms, NOAA, U.S. Department of Commerce","http://shoreline.noaa.gov/","2e83028f-dfcb-4bb7-875b-fa399301df41"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOC","","","DOC/NTIS","National Technical Information Service, U.S. Department of Commerce","http://www.ntis.gov/","e6a0622d-fa6c-48bd-842f-e321d9c6d6fd"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOD","","","","","http://www.defenselink.mil/","9a3a209f-1d22-4a48-bbb2-dbfbca2959b1"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOD","","","DOD/DMSO","Defense Modeling and Simulation Office, U.S. Department of Defense","https://www.dmso.mil/public/","b9a28aed-828e-41b6-b23f-4da1ccfc1d38"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOD","","","DOD/NGA","National Geospatial-Intelligence Agency, U. S. Department of Defense","https://www.nga.mil/Pages/Default.aspx","1e555eb1-d504-4d91-8f21-1afa6c7303ae"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOD","","","DOD/SMDC/CMR","Center for Monitoring Research , U. S. Army Space and Missile Defense Command, U. S. Department of Defense","http://www.cmr.gov/","9ee6b9cb-9ced-47e3-a0f7-29c2b01696f7"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOD","","","DOD/USAF/AFCCC","Air Force Combat Climatology Center, U.S. Air Force, U.S. Department of Defense","https://notus2.afccc.af.mil","651dadaf-7a11-463a-939b-4ef4b42aaff1"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOD","","","DOD/USAF/AFRL/88WS","88th Weather Squadron , U.S. Air Force Research Laboratory, U.S. Air Force, U. S. Department of Defense","http://www.wpafb.af.mil/","0970ce53-19ba-4f9d-8c40-3f4dfc514d5b"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOD","","","DOD/USARMY/USACE/CHL","Coastal Engineering Research Center, Coastal and Hydraulics Laboratory, U. S. Army Corps of Engineers, U.S. Army, U. S. Department of Defense","http://chl.erdc.usace.army.mil/","be35cd8b-f059-443e-b30e-63625613afb7"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOD","","","DOD/USARMY/USACE/ERDC-CERL","Engineer Research and Development Center - Construction Engineering Research Laboratory, U. S. Army Corps of Engineers, U.S. Army, U. S. Department of Defense","http://www.dodfuelcell.com/intro.html","a1e0badb-4e59-418c-8aef-0fa5d960d2b4"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOD","","","DOD/USARMY/USACE/HEC","Hydrologic Engineering Center, U. S. Army Corps of Engineers, U.S. Army, U. S. Department of Defense","http://www.hec.usace.army.mil/","041d25af-dc91-4177-a53b-4e345fd695dc"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOD","","","DOD/USARMY/USACE/SAD/MOBILE","Mobile District, South Atlantic Division, U.S. Army Corps of Engineers, U.S. Army, U.S. Department of Defense","http://www.sam.usace.army.mil/","ed2d6af0-0a59-4105-9ce6-11c0199bc8e9"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOD","","","DOD/USARMY/USACE/TEC","Topographic Engineering Center, U. S. Army Corps of Engineers, U.S. Army, U. S. Department of Defense","http://www.tec.army.mil/","7d1f9bd8-c6d1-442f-96bc-0360658468b0"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOD","","","DOD/USARMY/USACE/TEC/TIO","TEC Imagery Office, Topographic Engineering Center, U. S. Army Corps of Engineers,U.S. Army, U. S. Department of Defense","http://www.tec.army.mil/tio/","c1870109-fd59-4170-b63f-6ab5074272ee"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOD","","","DOD/USARMY/USACE/WES","Waterways Experiment Station, U. S. Army Corps of Engineers, U.S. Army, U. S. Department of Defense","http://www.erdc.usace.army.mil/","bb88e82d-8db3-46c5-aaec-30b5350b087e"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOD","","","DOD/USNAVY/FNMOC/USGODAE","U.S. Global Ocean Data Assimilation Experiment, Fleet Numerical Meteorology and Oceanography Center, U.S. Navy, U.S. Department of Defense","https://nrlgodae1.nrlmry.navy.mil/","d3a0a29b-f7a8-4f0c-a9e1-f4441996c0c3"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOD","","","DOD/USNAVY/NPS","Naval Postgraduate School, U.S. Navy, U.S. Department of Defense","http://www.nps.edu/","63e1e75b-33e4-4f7c-9e25-b712378de1f0"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOD","","","DOD/USNAVY/NRL/MRY/MMD","Marine Meteorology Division, Naval Research Laboratory, Monterey, U.S. Navy, U. S. Department of Defense","http://www.nrlmry.navy.mil/","0efd3442-7a6d-4597-a636-e38865abe52d"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOD","","","DOD/USNAVY/NRL/OCEANOGRAPHY","Oceanography Division, Naval Research Laboratory, U.S. Navy, U. S. Department of Defense","https://www.nrl.navy.mil/research/directorates-divisions/ocean-atmosphere/","8b406cf9-54b0-4465-8052-bd52b36806de"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOE","","","","","http://www.energy.gov/","af895532-1c2c-4270-b498-671114aab9d8"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOE","","","DOE/ARM","Atmospheric Radiation Measurement Project, U.S. Department of Energy","http://www.arm.gov","9ece3257-0b73-4df4-9d72-ff41881317a0"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOE","","","DOE/ARM/SCIENCE","Science, Atmospheric Radiation Measurement Program, U. S. Department of Energy","http://science.arm.gov/index.html","4f52206e-89db-48ca-b3cd-36de080dcdaf"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOE","","","DOE/BNL/FACE","Free Air CO2 Enrichment Group, Brookhaven National Laboratory, U. S. Department of Energy","http://www.face.bnl.gov","2571a9db-35bb-4858-bb5d-74aeb294760c"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOE","","","DOE/EIA","Energy Information Administration, U. S. Department of Energy","http://www.eia.doe.gov","2a61b7a0-5054-46be-a5ba-3fbbc11cf063"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOE","","","DOE/LLNL/ASD","Atmospheric Sciences Division, Lawrence Livermore National Laboratory, U. S. Department of Energy","http://eed.llnl.gov/asd/","d6255944-3c54-41bd-8b25-0cc0677345c4"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOE","","","DOE/LLNL/IPCC","Intergovernment Panel on Climate Change, Lawrence Livermore National Laboratory, U. S. Department of Energy","https://esg.llnl.gov:8443/home/publicHomePage.do","1a0ed01e-de35-49b6-97f7-364a6636c3b3"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOE","","","DOE/NREL/RREDC","Renewable Resource Data Center,  National Renewable Energy Laboratory, U.S. Department of Energy","http://www.nrel.gov/rredc/","e2966f94-6510-4474-a19a-46f67a905f33"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOE","","","DOE/OCRWM/YMP","Yucca Mountain Project, Office of Civilian Radioactive Waste Management, U.S. Dept. of Energy","http://www.ocrwm.doe.gov/","de15edf3-0784-4d09-9251-480332f8100e"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOE","","","DOE/ORNL","Oak Ridge National Laboratory, U. S. Department of Energy","http://www.ornl.gov/","7b7ae6f4-8982-40fc-9ed3-430c83026d04"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOE","","","DOE/ORNL/ESD/CDIAC","Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, U. S. Department of Energy","http://cdiac.ornl.gov/","772f5ac7-265f-46d3-842b-fd81e77eb8dc"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOE","","","DOE/ORNL/ESD/CDIAC/AMERIFLUX","Ameriflux, Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, U. S. Department of Energy","http://public.ornl.gov/ameriflux/","7fee92e4-6754-4322-8414-e271c19ac4ed"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOE","","","DOE/ORNL/GIST","Geographic Information Science and Technology, Oak Ridge National Laboratory, U.S. Department of Energy","http://www.ornl.gov/gist/","b9683776-edda-4b88-8983-1b21d69b28a4"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOE","","","DOE/OSTI","Office of Science and Technology Information, U.S. Department of Energy","http://www.osti.gov/","5818f26f-cfba-4620-871d-0dbfdeff5878"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DO-ED","","","DOED/VRD","Virtual Reference Desk, U.S. Department of Education","http://www.vrd.org","256c8ab5-c362-441a-9519-86712000ea2f"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOI","","","","","http://www.doi.gov/","0111fbd3-e6ec-464a-bc65-2323c2328e7c"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOI","","","DOI/BLM/NILS","National Integrated Land System, Bureau of Land Management, U.S. Department of the Interior","http://www.blm.gov/wo/st/en.html","95c067e8-9241-4c9d-a66e-aed279891e90"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOI","","","DOI/MMS/GOMR","Gulf of Mexico Outer Continental Shelf Region, Minerals Management Service, U.S. Department of the Interior","http://www.gomr.mms.gov/","e78d6d95-9448-4017-8b3b-53f7f52bc5a1"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","DOI","","","DOI/NPS/CACO","Cape Cod National Seashore, National Park Service, U.S. Department of the Interior","http://www.nps.gov/caco/","605aa1b9-b523-402e-9631-0930cf824b3e"
